,Country,Number of Death,lat,lon,index,CODE,Country_x,Country_y,ISO3_Code,PopTotal
215,Sudan,1116,12.862807,30.217636,172.0,SDN,Sudan,Sudan,SDN,42813237.0
216,Suriname,114,3.919305,-56.027783,183.0,SUR,Suriname,Suriname,SUR,581363.0
218,Sweden,6122,60.128161,18.643501,184.0,SWE,Sweden,Sweden,SWE,10036391.0
219,Switzerland,3235,46.818188,8.227512,34.0,CHE,Switzerland,Switzerland,CHE,8591360.0
220,Syria,333,34.802075,38.996815,187.0,SYR,Syria,Syria,SYR,17070131.0
221,Taiwan,7,23.69781,120.960515,200.0,TWN,Chinese Taipei,Taiwan,TWN,23773881.0
222,Tajikistan,84,38.861034,71.276093,218.0,TJK,Tadjikistan,Tajikistan,TJK,9321023.0
223,Tanzania,21,-6.369028,34.888822,201.0,TZA,United Republic of Tanzania,Tanzania,TZA,58005460.0
224,Thailand,60,15.870032,100.992541,191.0,THA,Thailand,Thailand,THA,69625580.0
225,Timor-Leste,0,-8.874217,125.727539,193.0,TLS,Timor-Leste,Timor-Leste,TLS,1293120.0
226,Togo,60,8.619543,0.824782,190.0,TGO,Togo,Togo,TGO,8082359.0
227,Tokelau,0,-8.967363,-171.855881,192.0,TKL,Tokelau,Tokelau,TKL,1330.0
228,Tonga,0,-21.178986,-175.198242,195.0,TON,Tonga,Tonga,TON,104497.0
229,Trinidad and Tobago,111,10.691803,-61.222503,196.0,TTO,Trinidad and Tobago,Trinidad and Tobago,TTO,1394969.0
230,Tunisia,2151,33.886917,9.537499,197.0,TUN,Tunisia,Tunisia,TUN,11694721.0
231,Turkey,11233,38.963745,35.243322,198.0,TUR,Turkey,Turkey,TUR,83429607.0
232,Turkmenistan,0,38.969719,59.556278,219.0,TKM,Turkménistan,Turkmenistan,TKM,5942094.0
233,Turks and Caicos,6,21.694025,-71.797928,188.0,TCA,Turks and Caicos Islands,Turks and Caicos,TCA,38194.0
234,Tuvalu,0,-7.109535,177.64933,199.0,TUV,Tuvalu,Tuvalu,TUV,11655.0
235,U.S. Virgin Islands,6,18.335765,-64.896335,226.0,VIR,United States Virgin Islands,U.S. Virgin Islands,VIR,104579.0
236,UAE,528,23.424076,53.847818,8.0,ARE,United Arab Emirates,UAE,ARE,9770526.0
237,Uganda,143,1.373333,32.290275,202.0,UGA,Unknown,Uganda,UGA,44269587.0
238,UK,50928,55.378051,-3.435973,77.0,GBR,United Kingdom,UK,GBR,67530161.0
239,Ukraine,9317,48.379433,31.16558,220.0,UKR,Ukraine,Ukraine,UKR,43993643.0
241,Uruguay,63,-32.522779,-55.765835,204.0,URY,Uruguay,Uruguay,URY,3461731.0
242,USA,248585,37.09024,-95.712891,205.0,USA,United States,USA,USA,329064917.0
243,Uzbekistan,594,41.377491,64.585262,221.0,UZB,Uzbekistan,Uzbekistan,UZB,32981714.0
244,Vanuatu,0,-15.376706,166.959158,228.0,VUT,Vanuatu,Vanuatu,VUT,299882.0
245,Vatican City,0,41.902916,12.453389,222.0,VAT,Holy See,Vatican City,VAT,815.0
246,Venezuela,841,6.42375,-66.58973,224.0,VEN,Venezuela,Venezuela,VEN,28515828.0
247,Vietnam,35,14.058324,108.277199,227.0,VNM,Vietnam,Vietnam,VNM,96462108.0
249,Western Sahara,1,24.215527,-12.885834,61.0,ESH,Western Sahara,Western Sahara,ESH,582458.0
250,Yemen,605,15.552727,48.516388,230.0,YEM,Yemen,Yemen,YEM,29161922.0
251,Zambia,350,-13.133897,27.849332,232.0,ZMB,Zambia,Zambia,ZMB,17861034.0
252,Zimbabwe,255,-19.015438,29.154857,233.0,ZWE,Zimbabwe,Zimbabwe,ZWE,14645473.0
